Gene,placenta_1,placenta_2,Uterus_D14_1,Uterus_D14_2,Uterus_D14_3,placenta_term_1,placenta_term_2,placenta_term_3,placenta_term_4,PTR2_1,PTR2_2,PTR2_3,sTO01_1,sTO01_2,sTO02_1,sTO02_2,sTO02_3,sTO03_1,sTO03_2,sTO03_3
PTPRF,58.11571911,24.36975126,232.1304975,149.7156951,228.5655331,14.426996,30.97381798,22.28687993,25.32296602,13.02701762,15.56892496,14.26370784,73.37775248,76.9569538,71.41667447,67.72881497,66.36658246,58.9627684,54.15321418,57.27741637
U6_345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYI,3.522900164,4.137755775,39.10362418,29.65013606,38.29754922,1.22719917,2.15083669,2.762082924,4.911745141,22.22543952,23.20465823,21.69756503,4.20143593,5.149131883,5.06673529,4.296722497,5.018554705,3.02067022,2.943221762,3.072695981
SZT2,1.859728518,0.9430431,6.528764534,5.258296131,7.147961857,0.7722523,1.697206278,0.918884934,1.407681236,0.253175581,0.366497386,0.302175447,2.236779743,1.826954749,2.0901153,1.957729517,2.03001549,2.26823718,1.75403709,2.12748733
MED8,9.213936929,7.340181114,7.074190858,7.452892603,7.018473999,5.70223359,5.322593186,7.458270915,7.270251131,8.376468705,9.185457318,9.007228549,8.314018423,7.611710091,12.54411038,12.5258829,12.72603274,11.9102753,11.65137457,11.99079394
ENSSSCG00000052567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL1,75.38831457,66.79634723,18.66684677,18.52814752,18.95894247,28.5693128,33.188972,54.37549903,44.49236565,18.8993504,19.42670288,19.26169687,85.8282503,83.60489706,82.54454157,90.12765291,79.80099908,73.9256315,70.7942057,73.88678786
CDC20,0.598918078,1.476484796,1.970306396,2.053379038,2.288564776,0.49952538,0.776171527,0.83914566,0.804567697,22.33144378,25.41929253,25.63197621,27.40665318,24.48716487,23.45198985,27.68947659,26.14623766,30.9819479,25.6741101,28.90803387
MPL,0.10895067,0,0.046666327,0.154369165,0.107952932,0,0.027928737,0,9.65E-03,0,0,0,0.013726066,0.023605321,0.052945237,0.129308917,0.023131073,0.034964,0.071123466,0.064959746
TIE1,3.143364204,8.936178534,35.8205188,20.92468871,26.77124919,5.55301105,9.171909376,4.914243503,8.130648317,0.035751734,0.0564655,0.079167147,0.535895253,0.72817992,0.403211395,0.275278258,0.301029011,0.35952465,0.230176798,0.255704258
ENSSSCG00000056591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000041987,0.286384618,0.357258395,0.796049753,0.881047715,0.662111316,0.15967139,0.24980704,0.352417362,0.196059273,0.251159435,0.238005405,0.197877952,0.715585563,0.827956632,0.759058211,0.722872763,0.620683782,0.91139498,0.829604425,0.834191399
C1orf210,21.19479122,16.76491446,37.55926583,52.3248145,30.36325548,4.08836961,3.323414664,6.03427374,7.829548884,3.049105365,3.573748755,3.182996928,10.24556022,11.09277668,11.78038549,10.82704589,10.46454487,13.888788,12.43793702,12.87390583
TMEM125,21.17338109,14.1281158,27.50363815,28.41646542,25.5940829,5.31260398,6.995295155,11.68231462,16.85492908,31.11726009,32.01857279,32.49152444,23.14718092,23.58194647,30.17673963,30.03918848,28.6696072,26.8850377,25.07011492,26.17552152
CFAP57,0.18158445,9.25E-03,0.285183106,0.914780236,0.569751585,0.09030549,0.046547896,5.74E-03,0.042889641,0,0,0,0,0,0,0,0,0.14892075,0.174986305,0.156384573
U2_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBNA1BP2,2.64594484,2.97484184,3.781916877,3.987870092,3.815836275,2.02764042,2.051986402,2.173556033,2.714110117,0.798394429,0.932301731,1.016764177,5.947961838,5.448894915,5.762206599,6.707900046,6.65018338,8.16797929,7.79817999,8.016213042
FAM183A,0,0,0.498150295,1.399363571,1.248398749,7.75E-03,0,7.88E-03,0,0,0,0,0,0,0,0,0,8.89E-03,0,0
ENSSSCG00000003955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000003957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000003958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000003959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000003960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000055216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000032230,0.032718673,0,0.343348752,0.360563581,0.37822219,0.04271304,0,0.065144203,0,0,0,0,0,0,0,0.022652234,0,0,0,0
ENSSSCG00000039458,0,0,0.820611302,1.277425258,0.70721546,0,0.057778499,0.085480223,0.039928214,0.05114957,0.024235351,0,0,0,0,0,0,0,0,0
ENSSSCG00000058240,0,0,9.09E-03,0.066810945,0.028033205,7.92E-03,0,0.040236507,0.018794661,4.82E-03,4.56E-03,0.027418833,0,9.20E-03,0,0,0,0,0,4.22E-03
ENSSSCG00000059892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSSSCG00000061880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
